part_nr;participant_name;date_and_time;time_on_screen;time_since_last_pop;xyY(x);xyY(y);xyY(Y);P3_R;P3_G;P3_B;base_P3_x;base_P3_y;base_P3_Y;base_P3_R;base_P3_G;base_P3_B;differentiated?;distance_to_base_xyY;distamce_to_base_P3;lvl_nr;stage_nr;part_age;part_sex;part_eye_correct;part_nearfar;part_eye_color;part_birth;part_reciding;place_on_screen(x);place_on_screen(y)
;;2/24/2025 12:38:34 PM;0.4;2.879998;0.4268072;0.3362808;0.2900618;0.7760574;0.4932122;0.4694566;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.0004999936;1.032431;1;0;;;;;;;;-4.639999;-3.23
;;2/24/2025 12:38:34 PM;0.14;1.12;0.4305938;0.3362808;0.2900618;0.7817971;0.4899636;0.465964;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;True;0.0032866;1.033631;1;0;;;;;;;;-8.97;2.29
;;2/24/2025 12:38:35 PM;0.4600001;2.559998;0.4208339;0.3362808;0.2900618;0.7668886;0.4982826;0.4749008;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.006473243;1.030502;1;0;;;;;;;;-5.17;0.64
;;2/24/2025 12:38:35 PM;0.4600001;2.559998;0.4291072;0.3362808;0.2900618;0.7795503;0.4912422;0.467339;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.001800001;1.033162;1;0;;;;;;;;-3.15;-0.48
;;2/24/2025 12:38:35 PM;0.4600001;2.559998;0.4318844;0.3317035;0.2900618;0.7895985;0.4843925;0.4726672;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.00647325;1.03996;1;0;;;;;;;;1.24;3.69
;;2/24/2025 12:38:35 PM;0.4600001;2.559998;0.4273072;0.324726;0.2900618;0.7917384;0.4814464;0.4889705;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.01155481;1.047727;1;0;;;;;;;;1.08;0.14
;;2/24/2025 12:38:35 PM;0.4600001;2.559998;0.4273072;0.3367808;0.2900618;0.7761878;0.4932507;0.4681406;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.0004999936;1.031949;1;0;;;;;;;;-9.03;-2.37
;;2/24/2025 12:38:35 PM;0.4600001;2.559998;0.4273072;0.3264502;0.2900618;0.789469;0.483211;0.4859673;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.009830594;1.045427;1;0;;;;;;;;-4.96;3.7
;;2/24/2025 12:38:35 PM;0.4600001;2.559998;0.4273072;0.342754;0.2900618;0.7687451;0.4986714;0.4579495;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;False;0.006473243;1.024383;1;0;;;;;;;;-4.639999;-3.23
;;2/24/2025 12:38:35 PM;0.16;1.279999;0.4296311;0.3339568;0.2900618;0.7832974;0.4885753;0.4708525;0.4273072;0.3362808;0.2900618;0.7768185;0.4927848;0.4689972;True;0.003286611;1.036322;1;0;;;;;;;;-8.97;2.29
